gene,custom,cosmic,clinvar-all-cancer,FM-combined,ucsf500v2,civic,broad-target,msk-impact,umich-mioncoseq
KIF1B,,,X,,,,,,
KIF1BP,,,X,,,,,,
KIF23,,,,,,X,,,
KIF5A,,,X,,,,,,
KIF5B,,X,,X,,,,,
KIR2DL3,,,X,,,,,,
KIR3DL1,,,X,,,,,,
KISS1R,,,X,,,,,,
KIT,,X,X,X,X,X,X,X,X
KLF4,,X,,,X,,,X,
KLF6,,X,X,,,,,,
KLHDC8B,,,X,,,,,,
KLHL20,,,X,,,,,,
KLHL6,,,X,X,X,,,,
KLK2,,X,,,,,,,
KLLN,,,,,,X,,,
KMT2A,,X,,X,X,X,X,X,
KMT2B,,,,,X,,,,
KMT2C,,X,,X,,X,,X,
KMT2D,,X,X,X,X,X,,X,
KMT5A,,,X,,,,,,
KNDC1,,,X,,,,,,
KNSTRN,,,X,,X,,,,
KNTC1,,,X,,,,,,
KPRP,,,X,,,,,,
KRAS,,X,X,X,X,X,X,X,X
KRT1,,,X,,,,,,
KRT17,,,X,,,,,,
KRT18,,,,,,X,,,
KRT33A,,,X,,,,,,
KRT6B,,,X,,,,,,
KRT81,,,X,,,,,,
KRT83,,,X,,,,,,
KRT86,,,X,,,,,,
KRT9,,,X,,,,,,
KTN1,,X,,,,,,,
LAMA5,,,X,,,,,,
LARP1B,,,X,,,,,,
LASP1,,X,,X,,,,,
LATS1,,,,,,,,X,
LATS2,,,,,,,,X,
LCK,,X,,,,,,,
LCOR,,,X,,,,,,
LCP1,,X,,X,,,,,
LEF1,,X,X,,X,,,,
LEPR,,,,,,X,,,
LHCGR,,,X,,,,,,
LHFP,,X,,,,,,,
LIFR,,X,,,X,,,,
LIN28A,X,,,,,,,,
LIN28B,X,,,,,,,,
LMAN1L,,,X,,,,,,
LMLN,,,X,,,,,,
LMNA,,X,,,,,,,
LMO1,,X,,X,,,,X,
LMO2,,X,,X,,,,,
LMTK2,,,X,,,,,,
LONP2,,,X,,,,,,
LPIN1,,,X,,,,,,
LPP,,X,,X,,,,,
LRAT,,,X,,,,,,
LRIG3,,X,,,,,,,
LRMDA,,,X,,,,,,
LRP1,,,X,,,,,,
LRP1B,,X,X,X,X,X,,,
LRP5,,,X,,,,,,
LRP6,,,X,,,,,,
LRP8,,,X,,,,,,
LRPAP1,,,X,,,,,,
LRRC37A3,,,X,,,,,,
LRRK2,,,,X,X,,,,
LSM14A,,X,,,,,,,
LYL1,,X,,X,,,,,
LYN,,,,X,,,,,
LZTR1,,X,X,X,X,,,,
LZTS1,,,X,,,,,,
MACF1,,,X,,,,,,
MAD1L1,,,X,,,,,,
MAF,,X,,X,,,,,
MAFB,,X,,X,,,,,
MAGED1,,,,X,,,,,
MAGEH1,,,,,,X,,,
MAGI2,,,X,X,,,,,
MAGT1,,,X,,,,,,
MALAT1,,X,,,X,,,,
MALT1,,X,X,X,,,,,
MAMDC2,,,X,,,,,,
MAML1,,,X,,,,,,
MAML2,,X,,,X,,,,
MAMLD1,,,X,,,,,,
MAP2K1,,X,X,X,X,X,X,X,X
MAP2K2,,X,X,X,X,,X,X,X
MAP2K4,,X,,X,X,,X,X,X
MAP2K7,,,,,,X,,,
MAP3K1,,X,X,X,X,,X,X,
MAP3K13,,X,,,,,,X,
MAP3K14,,,,X,,,,,
MAP3K2,,,,,X,,,,
MAP3K5,,,,,X,,,,
MAP3K6,,,,X,,,,,
MAP3K7,,,,X,X,,,,
MAP3K9,,,,,X,,,,
MAPK1,,X,X,X,X,X,X,X,
MAPK10,,,X,,,,,,
MAPK3,,,,,,,X,,
MAPT,,,X,,,,,,
MAX,,X,X,,,,,X,
MBL2,,,X,,,,,,
MC1R,,,X,,,,,,
MCC,,,X,,,,,,
MCL1,,,,X,X,,X,X,
MCM4,,,X,,,,,,
MDC1,,,,,,,,X,
MDM2,,X,X,X,X,X,X,X,X
MDM4,,X,,X,X,X,X,X,X
MDS2,,X,,X,,,,,
MECOM,,X,,X,,,,,
MED1,,,X,,,,,,
MED12,,X,X,X,X,,X,X,
MEF2B,,,,X,X,,,X,
MEF2C,,,,X,,,,,
MEN1,,X,X,X,X,X,X,X,X
MET,,X,X,X,X,X,X,X,X
MGA,,,,,X,,,,
MGMT,,,X,,X,X,,,
MIB1,,,,X,,,,,
MICAL2,,,X,,,,,,
MINPP1,,,X,,,,,,
MIR218-1,,,,,,X,,,
MITF,,X,X,X,X,X,X,X,
MKI67,,,,,,X,,,
MKL1,,X,,X,,,,,
MKRN3,,,X,,,,,,
MLF1,,X,,X,,,,,
MLH1,,X,X,X,X,X,X,X,X
MLH3,,,X,,X,,,,
MLLT1,,X,,X,,,,,
MLLT10,,X,,X,,,,,
MLLT11,,X,,,,,,,
MLLT3,,X,,X,,,,,
MLLT4,,X,,,,,,,
MLLT6,,X,,X,,,,,
MMP2,,,,,,X,,,
MMP9,,,,,,X,,,
MN1,,X,,X,,,,,
MNX1,,X,,X,,,,,
MPL,,X,X,X,X,,X,X,X
MPLKIP,,,X,,,,,,
MPO,,,X,,,,,,
MPV17,,,X,,,,,,
MRE11,,,X,X,,X,,X,
MRE11A,,,,,X,,,,
MRPL23,,,X,,,,,,
MRPL46,,,X,,,,,,
MS4A1,,,X,,,,,,X
MSH2,,X,X,X,X,X,X,X,X
MSH3,,,X,X,X,,,,
MSH6,,X,X,X,X,X,X,X,X
MSI2,,X,,X,,,,,
MSMB,,,X,,,,,,
MSN,,X,,X,,,,,
MSR1,,,X,,,,,,
MST1R,,,X,,,,,,
MT-CO1,,,X,,,,,,
MT-CO2,,,X,,,,,,
MT-CYB,,,X,,,,,,
MT-ND4L,,,X,,,,,,
MT-ND6,,,X,,,,,,
MT-TE,,,X,,,,,,
MT-TL1,,,X,,,,,,
MT-TT,,,X,,,,,,
MTAP,,,X,,,X,,,
MTBP,,,X,,,,,,
MTCP1,,X,,,,,,,
MTHFR,,,X,,,X,,,X
MTOR,,X,X,X,X,X,X,X,X
MTR,,,X,,,,,,
MTRR,,,X,,,,,,
MUC1,,X,,X,,,,,
MUC17,,,X,,,,,,
MUC5B,,,X,,,,,,
MUC6,,,X,,,,,,
MUTYH,,X,X,X,X,,,X,X
MVD,,,X,,,,,,
MXI1,,,X,,,,,,
MXRA5,,,X,,,,,,
MYB,,X,,X,X,,,,
MYBL1,,,,,X,,,,
MYC,,X,X,X,X,,X,X,
MYCBP2,,,X,,,,,,
MYCL,,X,,X,,X,,X,
MYCL1,,,,,X,,,,
MYCN,,X,X,X,X,X,,X,X
MYD88,,X,X,X,X,X,X,X,
MYH11,,X,,X,,,,,
MYH3,,,X,,,,,,
MYH8,,,X,,,,,,
MYH9,,X,,X,X,,,,
MYLK,,,X,,,,,,
MYO16,,,X,,,,,,
MYO18A,,,X,X,,,,,
MYO1A,,,X,,,,,,
MYO5A,,X,,,,,,,
MYOCD,,,X,,,,,,
MYOD1,,X,,,,,,X,
MYOT,,,X,,,,,,
MYRF,,,X,,,,,,
NAB2,,X,,,,,,,
NACA,,X,,X,,,,,
NAPB,,,X,,,,,,
NAPRT,,,,,,X,,,
NAV3,,,,,X,,,,
NBEAP1,,,,X,,,,,
NBN,,X,X,,X,X,,X,
NCKAP5,,,,,X,,,,
NCKIPSD,,X,,,,,,,
NCOA1,,X,,,,,,,
NCOA2,,X,,X,X,,,,
NCOA3,,,,,X,X,,,
NCOA4,,X,,,,,,,
NCOR1,,X,,,X,,,X,
NCOR2,,X,,X,,,,,
NCSTN,,,,X,,,,,
NDRG1,,X,,X,,,,,
NDUFA13,,,X,,,,,,
NECAP2,,,X,,,,,,
NEDD8-MDP1,,,X,,,,,,
NEDD9,,,,,,X,,,
NEK8,,,X,,,,,,
NEK9,,,X,,,,,,
NELL1,,,X,,,,,,
NEMF,,,X,,,,,,
NETO2,,,X,,,,,,
NF1,,X,X,X,X,X,X,X,X
NF2,,X,X,X,X,X,X,X,X
NFATC2,,X,,,,,,,
NFE2L2,,X,X,X,X,,,X,
NFIB,,X,,,,,,,
NFKB1,,,,,,,,,X
NFKB2,,X,,X,,,,,X
NFKBIA,,,,X,X,,X,,
NFKBIE,,X,,,X,,,,
NHP2,,,X,,,,,,
NHS,,,X,,,,,,
NIN,,X,,X,,,,,
NIPBL,,,,,X,,,,
NKX2-1,,X,X,X,X,,X,X,
NKX3-1,,,,,,,,X,
NLRP1,,,X,,,,,,
NMD3,,,X,,,,,,
NOBOX,,,X,,,,,,
NOD1,,,,X,,,,,
NONO,,X,,,,,,,
NOP10,,,X,,,,,,
NOS1,,,X,,,,,,
NOTCH1,,X,X,X,X,X,X,X,X
NOTCH2,,X,X,X,,,X,X,X
NOTCH3,,,X,X,X,,,X,X
NOTCH4,,,,,,,,X,X
NPM1,,X,X,X,X,X,X,X,X
NQO1,,,,,,X,,,
NR3C1,,,X,,,,,,
NR4A3,,X,,X,,,,,
NRAS,,X,X,X,X,X,X,X,X
NRG1,,X,,,,X,,,
NSD1,,X,X,X,X,,,X,
NSD2,,,,X,X,,,,
NSD3,,,,X,,,,,
NT5C2,,X,X,,X,X,,,
NT5E,,,,,,X,,,
NTN4,,,X,,,,,,
NTRK1,,X,X,X,X,X,,X,X
NTRK2,,,,X,X,,,X,X
NTRK3,,X,,X,X,X,X,X,X
NTS,,,X,,,,,,
NUMA1,,X,,X,,,,,
NUP214,,X,,X,,,,,
NUP93,,,,X,X,,,,
NUP98,,X,,X,,,,,
NUTM1,,X,,,X,,X,X,
NUTM2A,,X,,X,,,,,
NUTM2B,,X,,,,,,,
NWD1,,,X,,,,,,
OCA2,,,X,,,,,,
OGG1,,,X,,,,,,
OIT3,,,X,,,,,,
OLA1,,,X,,,,,,
OLFML3,,,X,,,,,,
OLIG2,,X,,,,,,,
OMD,,X,,X,,,,,
OPCML,,,X,,,,,,
OR14A16,,,X,,,,,,
OR1S2,,,X,,,,,,
OR2T1,,,X,,,,,,
OR2Z1,,,X,,,,,,
OR4C12,,,X,,,,,,
OR5AC2,,,X,,,,,,
OR5L1,,,X,,X,,,,
OR6K2,,,X,,,,,,
OR8K3,,,X,,,,,,
OSTM1,,,X,,,,,,
OXA1L,,,X,,,,,,
P2RY8,,X,,X,,,,,
PAFAH1B2,,X,,X,,,,,
PAG1,,,,X,,,,,
PAK1,,,,,X,,,X,
PAK3,,,,X,X,,,,
PAK4,,,X,,,,,,
PAK5,,,,,,,,X,
PALB2,,X,X,X,X,X,,X,X
PALLD,,,X,,,,,,
PALM2-AKAP2,,,X,,,,,,
PARD3,,,X,,,,,,
PARK2,,,,,X,,,,
PARN,,,X,,,,,,
PARP1,,,,,,,,X,
PAX3,,X,,X,X,,,,
PAX5,,X,,X,X,,,X,
PAX6,,,X,,,,,,
PAX7,,X,,X,X,,,,
PAX8,,X,,,X,X,,X,
PBK,,,,,,X,,,
PBRM1,,X,X,X,X,X,,X,
PBX1,,X,,X,,,,,
PC,,,,X,,,,,
PCBP1,,,,X,,,,,
PCDHB1,,,X,,,,,,
PCLO,,,,X,,,,,
PCM1,,X,,X,,,,,
PCNX1,,,X,,,,,,
PCSK7,,X,,X,,,,,
PDCD1,,,,X,,,,X,
PDCD11,,,,X,,,,,
PDCD1LG2,,X,,X,X,,,,
PDCD4,,,,,,X,,,
PDE1C,,,X,,,,,,
PDE3A,,,X,,,,,,
PDE4DIP,,X,,X,,,,,
PDE6B,,,X,,,,,,
PDE7B,,,X,,,,,,
PDGFB,,X,X,X,X,,,,
PDGFRA,,X,X,X,X,X,X,X,X
PDGFRB,,X,X,X,X,X,X,X,X
PDGFRL,,,X,,,,,,
PDK1,,,,X,X,,,,
PDK4,,,X,,,,,,
PDP2,,,X,,,,,,
PDPK1,,,,,,,,X,
PER1,,X,,X,,,,,
PGPEP1,,,X,,,,,,
PGR,,,,,,X,,,X
PHB,,,X,,,,,,
PHF1,,,,X,,,,,
PHF2,,,X,,,,,,
PHF24,,,X,,,,,,
PHF6,,X,,X,X,,,,
PHOX2B,,X,X,,X,,,X,
PICALM,,X,,X,,,,,
PIGH,,,X,,,,,,
PIK3C2B,,,,X,,,,,
PIK3C2G,,,,,,,,X,
PIK3C3,,,,,,,,X,
PIK3CA,,X,X,X,X,X,X,X,X
PIK3CB,,,,X,,,X,X,
PIK3CD,,,,,,,,X,
PIK3CG,,,X,X,X,,,X,
PIK3R1,,X,X,X,X,X,X,X,X
PIK3R2,,,X,X,X,,,X,
PIK3R3,,,,,,,,X,
PIM1,,X,,X,,X,,X,
PITX2,,,X,,,,,,
PKD2L1,,,X,,,,,,
PKHD1,,,X,,,,,,
PLA2G2A,,,X,,,,,,
PLAG1,,X,,X,X,,,,
PLB1,,,X,,,,,,
PLCB4,,,X,,X,,,,
PLCG1,,X,,,,,,,
PLCG2,,,X,X,,,,,
PLEKHA4,,,X,,,,,,
PLEKHG1,,,X,,,,,,
PLEKHG4B,,,X,,,,,,
PLK2,,,,,,,,X,
PMAIP1,,,,,,,,X,
PML,,X,X,X,,X,,,
PMS1,,X,X,,X,,,X,
PMS2,,X,X,X,,X,,X,X
PMVK,,,X,,,,,,
PNP,,,X,,,,,,
PNRC1,,,,,,,,X,
PODN,,,X,,,,,,
POLA1,,,,,,,,,X
POLB,,,,,,,,,X
POLD1,,,X,X,X,,,,
POLE,,X,X,X,X,X,,X,
POLG2,,,X,,,,,,
POLH,,,X,,,,,,
POLK,,,X,,,,,,
POLN,,,X,,,,,,
POLQ,,,,,X,,,,
POT1,,X,,,X,X,,,
POU2AF1,,X,,X,,,,,
POU3F2,,,,,X,,,,
POU5F1,,X,,,,X,,,
POU6F2,,,X,,,,,,
PPARG,,X,X,,,,,,
PPFIBP1,,X,,,,,,,
PPIP5K2,,,X,,,,,,
PPM1D,,X,X,,X,,,,
PPP1CB,,,,X,,,,,
PPP1R15A,,,,,,X,,,
PPP1R1A,,,X,,,,,,
PPP1R3C,,,X,,,,,,
PPP2CA,,,X,,,,,,
PPP2R1A,,X,X,X,X,,,X,
PPP2R1B,,,X,,,,,,
PPP2R5C,,,X,,,,,,
PPP6C,,X,X,,X,,,,
PPP6R2,,,X,,,,,,
PPRC1,,,X,,,,,,
PRCC,,X,,,,,,,
PRDM1,,X,,X,X,X,,X,
PRDM16,,X,,X,,,,,
PREX2,,X,X,X,X,,,,
PRF1,,X,X,,,,,,
PRKAA2,,,,,,X,,,
PRKACA,,X,,,X,X,,,
PRKAG2,,,,,X,,,,
PRKAR1A,,X,X,X,X,,,X,
PRKCA,,,,,X,,,,
PRKCH,,,,,X,,,,
PRKCI,,,,X,,,,,
PRKD1,,,X,,,,,,
PRKDC,,,,X,X,,,,
PRKN,,,X,X,,,,X,
PROM1,,,,,,X,,,
PRPH2,,,X,,,,,,
PRRX1,,X,,X,,,,,
PRSS1,,,X,,,,,,
PRSS22,,,X,,,,,,
PRSS8,,,,X,,,,,
PSIP1,,X,,X,,,,,
PSMB8,,,,,,X,,,
PSMC1,,,X,,,,,,
PTCH1,,X,X,X,X,X,X,X,X
PTCH2,,,X,,X,,,,
PTEN,,X,X,X,X,X,X,X,X
PTGS2,,,,,,X,,,X
PTH,,,X,,,,,,
PTK2B,,,,,X,,,,
PTK6,,X,,,,,,,
PTK7,,,,X,,,,,
PTP4A3,,,,,,X,,,
PTPN1,,,,,X,,,,
PTPN11,,X,X,X,X,X,,X,X
PTPN12,,,X,,,,,,
PTPN13,,X,,,,,,,
PTPN21,,,X,,,,,,
PTPN3,,,X,,,,,,
PTPRB,,X,,,X,X,,,
PTPRC,,X,X,,,,,,
PTPRD,,,X,,X,X,,X,
PTPRF,,,,,,X,,,
PTPRJ,,,X,,,,,,
PTPRK,,X,,,X,,,,
PTPRN2,,,X,,,,,,
PTPRO,,,,X,,,,,
PTPRS,,,,,,,,X,
PTPRT,,X,,,X,X,,X,
PTTG1,,,,,,X,,,
PWWP2A,,X,,,,,,,
PYCR3,,,X,,,,,,
PYHIN1,,,X,,,,,,
QKI,,X,,X,,,,,
RAB11FIP4,,,X,,,,,,
RAB35,,,,,,,X,,
RABEP1,,X,,X,,,,,
RAC1,,X,X,X,X,X,,X,
RAC2,,,X,,,,,,
RAD21,,X,,X,X,,,,
RAD23B,,,,,,X,,,
RAD50,,,X,X,X,,,X,
RAD51,,,X,X,X,,,X,
RAD51B,,X,X,,,,,X,
RAD51C,,,X,,X,,,X,
RAD51D,,,X,,X,X,,X,
RAD52,,,,,,,,X,
RAD54B,,,X,,,,,,
RAD54L,,,X,,,,,X,
RAF1,,X,X,X,X,X,X,X,X
RAG1,,,X,,,,,,
RAG2,,,X,,,,,,
RALGDS,,X,,X,,,,,
RANBP17,,X,,,,,,,
RANBP2,,X,,X,,,,,
RAP1GDS1,,X,,X,,,,,
RAPGEF1,,,X,,,,,,
RAPGEFL1,,,X,,,,,,
RAPH1,,,X,,,,,,
RARA,,X,,X,X,,X,X,X
RASA1,,,X,,X,,,X,
RASA2,,,,,X,,,,
RASAL2,,,X,,,,,,
RB1,,X,X,X,X,X,X,X,
RB1CC1,,,X,,,,,,
RBAK,,,X,,,,,,
RBBP8,,,X,,,,,,
RBM10,,X,,X,X,,,X,
RBM15,,X,,X,,,,,
RCC2,,,X,,,,,,
RECQL4,,X,X,,,,,X,
REL,,X,,,X,X,,X,
RELA,,,,,X,,,,
RERGL,,,X,,,,,,
RET,,X,X,X,X,X,X,X,X
REV3L,,,X,,,,,,
RFWD2,,,,,,,,X,
RHBDF2,,,X,,,,,,
RHEB,,,X,,X,,X,,
RHOA,,X,X,X,X,X,,X,
RHOBTB2,,,X,,,,,,
RHOH,,X,,X,,,,,
RICTOR,,,,X,X,X,,X,X
RINT1,,,X,,,,,,
RIPOR3,,,X,,,,,,
RIT1,,,,,X,X,,X,
RLIM,,,X,,,,,,
RMI2,,X,,,,,,,
RMRP,,,X,,,,,,
RNASEL,,,X,,,,,,
RNF212,,,X,,,,,,
RNF213,,X,,X,,,,,
RNF216,,,X,,,,,,
RNF217-AS1,,X,,,,,,,
RNF43,,X,X,X,X,,X,X,
RNF6,,,X,,,,,,
ROBO1,,,,,X,,,,
ROBO4,,,,,,X,,,
ROCK1,,,X,,,,,,
ROS1,,X,X,X,X,X,X,X,
RP1,,,X,,,,,,
RP1L1,,,X,,,,,,
RPL10,,X,,,X,,,,
RPL10L,,,X,,,,,,
RPL11,,,X,,,,,,
RPL22,,X,,X,,,,,
RPL26,,,X,,,,,,
RPL35A,,,X,,,,,,
RPL5,,X,X,,,,,,
RPN1,,X,,X,,,,,
RPS10,,,X,,,,,,
RPS17,,,X,,,,,,
RPS19,,,X,,,,,,
RPS24,,,X,,,,,,
RPS26,,,X,,,,,,
RPS6,,,,,,X,,,
RPS6KA4,,,,,,,,X,
RPS6KB2,,,,,,,,X,
RPS6KC1,,,X,,,,,,
RPS7,,,X,,,,,,
RPTOR,,,,X,X,,,X,
RPUSD1,,,X,,,,,,
RRAGC,,,,,X,,,,
RRAS,,,,,X,,,,
RRAS2,,,X,,X,,,,
RRM1,,,,,,X,,,X
RRM2,,,,,,X,,,
RRP1,,,X,,,,,,
RSF1,,,,,,X,,,
RSPO1,,,X,,,,,,
RSPO2,,X,,,X,,X,,
RSPO3,,X,,,X,,,,
RTEL1,,,X,,,,,,
RUBCNL,,,X,,,,,,
RUNDC1,,,X,,,,,,
RUNDC2A,,X,,,,,,,
RUNX1,,X,X,X,X,X,X,X,X
RUNX1T1,,X,,X,X,,,,X
RUNX2,,,,X,,,,,
RXRA,,,X,,,,,,
RXRB,,,,,,,,,X
RYBP,,,,,,,,X,
RYR1,,,X,,,,,,
RYR2,,,X,,,,,,
S100A3,,,X,,,,,,
SAFB2,,,X,,,,,,
SALL4,,X,,,,,,,
SAMD9L,,,X,,,,,,
SASH1,,,X,,,,,,
SBDS,,X,X,,,,,,
SBNO1,,,X,,,,,,
SCG5,,,X,,,,,,
SCGB1A1,,,X,,,,,,
SCGB3A2,,,X,,,,,,
SCN2A,,,X,,,,,,
SCN4A,,,X,,,,,,
SCNN1A,,,X,,,,,,
SCRN1,,,X,,,,,,
SCUBE3,,,X,,,,,,
SDC4,,X,,,,,,,
SDHA,,X,X,X,,,,X,
SDHAF2,,X,X,,,,,X,
SDHB,,X,X,X,X,,,X,X
SDHC,,X,X,X,,,,X,X
SDHD,,X,X,X,X,,,X,X
SDK1,,,X,,,,,,
SEC14L1,,,X,,,,,,
SEC23B,,,X,,,,,,
SEC31A,,,,X,,,,,
5-Sep,,X,,X,,,,,
6-Sep,,X,,X,,,,,
9-Sep,,X,,X,,,,,
SERP2,,,,X,,,,,
SERPINA1,,,X,,,,,,
SERPINB13,,,X,,,,,,
SERPINB4,,,X,,,,,,
SET,,X,,X,,,,,
SETBP1,,X,X,X,X,X,,,
SETD2,,X,,X,X,,,X,
SEZ6L,,,X,,,,,,
SF3B1,,X,X,X,X,X,,X,
SF3B2,,,X,,,,,,
SF3B3,,,X,,,,,,
SFPQ,,X,,,,,,,
SFRP4,,X,,,,,,,
SFTPA2,,,X,,,,,,
SFTPC,,,X,,,,,,
SGK1,,,,,,X,,,
SGK3,,,X,,,,,,
SGSM2,,,X,,,,,,
SH2B3,,X,X,,X,X,,,
SH2D1A,,,X,,,,,X,
SH3BP2,,,X,,,,,,
SH3GL1,,X,,X,,,,,
SHCBP1L,,,X,,,,,,
SHH,,,,,X,,,,
SHMT1,,,X,,,,,,
SHOX,,,X,,,,,,
SHQ1,,,,,,,,X,
SI,,,X,,,,,,
SIGLEC6,,,X,,,,,,
SIN3A,,,,,X,,,,
SIRT1,,,,,,X,,,
SKI,,,X,,,,,,
SKIL,,,X,,,,,,
SLC13A3,,,X,,,,,,
SLC16A2,,,X,,,,,,
SLC19A1,,,X,,,,,,
SLC1A2,,,,X,,,,,
SLC22A18,,,X,,,,,,
SLC25A13,,,X,,,,,,
SLC25A22,,,X,,,,,,
SLC25A32,,,X,,,,,,
SLC25A47,,,X,,,,,,
SLC26A2,,,X,,,,,,
SLC2A4RG,,,X,,,,,,
SLC30A2,,,X,,,,,,
SLC34A1,,,X,,,,,,
SLC34A2,,X,,,,,,,
SLC35A5,,,X,,,,,,
SLC35C1,,,X,,,,,,
SLC35G1,,,X,,,,,,
SLC37A4,,,X,,,,,,
SLC45A2,,,X,,,,,,
SLC45A3,,X,,,,,,,
SLC46A3,,,X,,,,,,
SLC5A2,,,X,,,,,,
SLC5A7,,,X,,,,,,
SLC6A9,,,X,,,,,,
SLC8A3,,,X,,,,,,
SLCO1B1,,,,,,X,,,
SLFN11,,,,,,X,,,
SLIT2,,,,X,X,,,,
SLITRK6,,,X,,X,,,,
SLX4,,,X,,,,,,
SMAD2,,X,,X,X,,X,X,
SMAD3,,X,,X,X,,,X,
SMAD4,,X,X,X,X,X,X,X,
SMAD7,,,X,,,,,,
SMARCA1,,,,X,,,,,
SMARCA2,,,,,X,,,,
SMARCA4,,X,X,X,X,X,X,X,
SMARCB1,,X,X,X,X,X,X,X,
SMARCC2,,,X,,,,,,
SMARCD1,,X,,,,,,X,
SMARCE1,,X,X,,,,,,
SMC1A,,,,X,X,,,,
SMC3,,,,,X,,,,
SMO,,X,X,X,X,X,X,X,X
SMUG1,,,X,,,,,,
SNAI2,,,X,,,,,,
SNCAIP,,,,X,X,,,,
SND1,,X,,,,,,,
SNX29,,,,X,,,,,
SOCS1,,X,,X,X,,,X,X
SOCS3,,,,X,,,,,
SORBS1,,,X,,,,,,
SORCS1,,,X,,,,,,
SOS1,,,,,X,,,,
SOS2,,,,,X,,,,
SOX10,,,,X,X,X,,,
SOX17,,,,,,,,X,
SOX2,,X,,X,X,,,X,
SOX9,,,X,X,X,,,X,
SP4,,,X,,,,,,
SPARC,,,,,,,,,X
SPATA18,,,X,,,,,,
SPECC1,,X,,,,,,,
SPECC1L,,,X,,,,,,
SPEN,,X,X,X,X,,,X,
SPHK1,,,,,,X,,,
SPINK1,,,X,,,,,,X
SPINK5,,,X,,,,,,
SPOP,,X,X,X,X,,,X,
SPRED1,,,X,,X,,,,
SPRY1,,,,,X,,,,
SPRY2,,,,,X,,,,
SPRY4,,,,,X,,,,
SPTA1,,,,X,X,,,,
SQSTM1,,,X,,,,,,
SRC,,X,X,X,X,,,X,X
SRGAP1,,,X,,,,,,
SRGAP3,,X,,,,,,,
SRSF2,,X,,,X,X,,,
SRSF3,,X,,X,,,,,
SS18,,X,,X,X,,,,
SS18L1,,X,,,,,,,
SSBP2,,,X,,,,,,
SSTR1,,,,,,,,,X
SSX1,,X,,X,,X,,,
SSX2,,X,,X,,X,,,
SSX4,,X,,X,,X,,,
ST8SIA6,,,X,,,,,,
STAC3,,,X,,,,,,
STAG2,,X,,X,X,X,,X,
STAG3,,,,,,X,,,
STAT3,,X,,X,X,X,,,
STAT4,,,,X,X,,,,
STAT5A,,,,X,,,,,
STAT5B,,X,,X,,,,,
STAT6,,X,,X,X,,,,
STIL,,X,,,,,,,
STK11,,X,X,X,X,X,X,X,X
STK19,,,X,,,,,,
STK33,,,X,,,,,,
STK4,,,X,,,,,,
STK40,,,,,,,,X,
STMN1,,,,,,X,,,
STRN,,X,,,,,,,
STS,,,X,,,,,,
STX11,,,X,,,,,,
STX8,,,X,,,,,,
STXBP1,,,X,,,,,,
STXBP2,,,X,,,,,,
SUFU,,X,X,X,X,,,X,
SULT1E1,,,,,,X,,,
SUZ12,,X,,,,,,X,
SV2B,,,X,,,,,,
SYCP2,,,X,,,,,,
SYK,,X,,X,X,X,X,X,X
SYNE1,,,,,X,,,,
SYNGR1,,,X,,,,,,
SYT6,,,X,,,,,,
TADA1,,,,,X,,,,
TAF1,,,,X,,,,,
TAF15,,X,,X,,,,,
TAL1,,X,,X,,,,,
TAL2,,X,,X,,,,,
TAOK3,,,X,,,,,,
TAS2R20,,,X,,,,,,
TBK1,,,,,,X,,,
TBL1XR1,,X,,X,,,,,
TBX18,,,X,,,,,,
TBX3,,X,,X,X,,,X,
TCEA1,,X,,,,,,,
TCEB1,,,,,X,,,,
TCF12,,X,,,,,,,
TCF3,,X,,X,,,,,
TCF7L1,,,,X,,,,,
TCF7L2,,X,,,X,,,,
TCIRG1,,,X,,,,,,
TCL1A,,X,,X,,,,,
TCL6,,X,,,,,,,
TEC,,,,X,,,,,
TEK,,,X,,,,,,
TERC,,,X,X,,,,,
TERT,,X,X,X,X,X,,X,
TET1,,X,,X,,,,X,
TET2,,X,X,X,X,X,X,X,X
TEX14,,,X,,,,,,
TF,,,X,,,,,,
TFE3,,X,,X,X,,,,
TFEB,,X,,,X,,,,
TFF3,,,,,,X,,,
TFG,,X,,X,,,,,
TFPT,,X,,X,,,,,
TFRC,,X,,X,,,,,
TG,,,X,,,,,,
TGFA,,,,,,X,,,
TGFBR1,,,X,,,,,X,
TGFBR2,,X,X,X,X,,,X,
TGFBR3,,,X,,,,,,
TGM6,,,X,,,,,,
THBS2,,,,,,X,,,
THBS3,,,X,,,,,,
THPO,,,X,,,,,,
THRAP3,,X,,,,,,,
TIMP1,,,,,,X,,,
TINF2,,,X,,,,,,
TK1,,,,,,,,,X
TLL2,,,,X,,,,,
TLR2,,,X,,,,,,
TLR4,,,,,X,,,,
TLR5,,,X,,,,,,
TLX1,,X,,X,,,,,
TLX3,,X,,X,,,,,
TMC6,,,X,,,,,,
TMC8,,,X,,,,,,
TMCO5A,,,X,,,,,,
TMED9,,,X,,,,,,
TMEM127,,X,X,,,,,X,X
TMEM183A,,,X,,,,,,
TMEM230,,,X,,,,,,
TMEM94,,,X,,,,,,
TMPRSS2,,X,X,X,X,X,X,X,
TNF,,,X,,,,,,X
TNFAIP3,,X,,X,X,,,X,
TNFRSF10B,,,X,,,,,,
TNFRSF11A,,,X,X,,,,,
TNFRSF11B,,,X,,,,,,
TNFRSF13B,,,X,,,,,,
TNFRSF13C,,,X,,,,,,
TNFRSF14,,X,,X,X,,,X,
